# 132 policies / 3000 grouping policies / 300 subjuects / 6 roles
# Policy - staff001
p, staff001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1001
p, staff001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1002
p, staff001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1003
p, staff001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1004
p, staff001,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1005
p, staff001,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2001
p, staff001,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2002
p, staff001,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2003
p, staff001,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2004
p, staff001,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2005

p, staff001,             /orgs/{orgID}/sites,          App001.Module002.Action1006
p, staff001,             /orgs/{orgID}/sites,          App001.Module002.Action1007
p, staff001,             /orgs/{orgID}/sites,          App001.Module002.Action1008
p, staff001,             /orgs/{orgID}/sites,          App001.Module002.Action1009
p, staff001,             /orgs/{orgID}/sites,          App001.Module002.Action1010
p, staff001,             /orgs/{orgID}/sites,          App003.*.Action3001
p, staff001,             /orgs/{orgID}/sites,          App003.*.Action3002
p, staff001,             /orgs/{orgID}/sites,          App003.*.Action3003
p, staff001,             /orgs/{orgID}/sites,          App003.*.Action3004
p, staff001,             /orgs/{orgID}/sites,          App003.*.Action3005

p, staff001,             /orgs/{orgID},                App004.*
p, staff001,             /orgs,                        App005.*

# Policy - staff002
p, staff002,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1001
p, staff002,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1002
p, staff002,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1003
p, staff002,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1004
p, staff002,             /orgs/{orgID}/sites/{siteID}, App001.Module001.Action1005
p, staff002,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2001
p, staff002,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2002
p, staff002,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2003
p, staff002,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2004
p, staff002,             /orgs/{orgID}/sites/{siteID}, App002.*.Action2005

p, staff002,             /orgs/{orgID}/sites,          App001.Module002.Action1006
p, staff002,             /orgs/{orgID}/sites,          App001.Module002.Action1007
p, staff002,             /orgs/{orgID}/sites,          App001.Module002.Action1008
p, staff002,             /orgs/{orgID}/sites,          App001.Module002.Action1009
p, staff002,             /orgs/{orgID}/sites,          App001.Module002.Action1010
p, staff002,             /orgs/{orgID}/sites,          App003.*.Action3001
p, staff002,             /orgs/{orgID}/sites,          App003.*.Action3002
p, staff002,             /orgs/{orgID}/sites,          App003.*.Action3003
p, staff002,             /orgs/{orgID}/sites,          App003.*.Action3004
p, staff002,             /orgs/{orgID}/sites,          App003.*.Action3005

p, staff002,             /orgs/{orgID},                App004.*
